ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Hinweis
1,AUX_VCC,J4,HDR-M-2.54_1X3,1,,,
2,AUX_GND,J5,HDR-M-2.54_1X3,1,,,
3,AUX1,J2,HDR-M-2.54_1X4,1,,,
4,AUX2,J3,HDR-M-2.54_1X3,1,,,
5,100n,"C1,C4",C0805,2,,,
6,100uF/25V,C2,CAP-D6.3×F2.5,1,,,
7,10n/275VAC/X2,C3,KONDENSATOR RM 10 GR 10X4,1,PHE840MK5100MK01R17,KEMET,
8,1AT,F1,FUSE-TH_5X20RHOSFUSECLIP/SEAT,1,5x20 RHOS Fuse clip/seat,XCFuse,
9,Fuse 5x20mm,F2,FUSE-TH_5X20RHOSFUSECLIP/SEAT,1,5x20 RHOS Fuse clip/seat,XCFuse,
10,AC,J1,CONN-TH_3P-P5.00_WJ500V-5.08-3P,1,WJ500V-5.08-3P,KANGNEX(康奈克斯电气),
11,275V,R1,RES-TH_L9.0-W4.6-P5.00-D0.9-S3.4,1,B72207S0271K111,TDK,
12,47,R2,R0207,1,MMF50SFRF47R,YAGEO(国巨),
13,220,"R3,R7",R0805,2,,,R3 abweichend mit 150 Ohm bestuecken - Rework Schritt 5.1 in HARDWARE.md. R7 bleibt 220 Ohm.
14,TEST-POINTTP_15TH_THRU,"TP1,TP2",TP30H,2,,,
15,XIAO-ESP32-C6,U1,LCC-14P_L17.7-W20.8-XIAO-ESP32-C6,1,XIAO-ESP32-C6,null,
16,IRM-01-5,U2,PWRM-TH_L33.7-W22.2_IRM-01-12,1,IRM-01-5,MW(明纬),
17,AQH3213A,U3,SMD-8_7P-L9.8-W6.4-P2.54-BL-PE7,1,AQH3213A,PANASONIC(松下),
18,DS18B20,U4,TO-92-3_L4.9-W3.7-P1.27-L,1,DS18B20-15(MY),Mysentech(敏源传感),
19,4K7,"R4,R5,R6",R0805,3,,,
20,LED,J6,HDR-M-2.54_1X2,1,,,
