ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer
1,SI2302DS,Q3,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,Si2302CDS-T1-GE3,VISHAY
2,10K,R8,R0805,1,?,
3,180,R3,R0805,1,,
4,AUX_VCC,J4,HDR-M-2.54_1X3,1,,
5,AUX_GND,J5,HDR-M-2.54_1X3,1,,
6,AUX1,J2,HDR-M-2.54_1X4,1,,
7,AUX2,J3,HDR-M-2.54_1X3,1,,
8,100n,"C1,C4",C0805,2,,
9,100uF/25V,C2,CAP-D6.3×F2.5,1,,
10,10n/275VAC/X2,C3,KONDENSATOR RM 10 GR 10X4,1,PHE840MK5100MK01R17,KEMET
11,1AT,F1,FUSE-TH_5X20RHOSFUSECLIP/SEAT,1,5x20 RHOS Fuse clip/seat,XCFuse
12,Fuse 5x20mm,F2,FUSE-TH_5X20RHOSFUSECLIP/SEAT,1,5x20 RHOS Fuse clip/seat,XCFuse
13,AC,J1,CONN-TH_3P-P5.00_WJ500V-5.08-3P,1,WJ500V-5.08-3P,KANGNEX(康奈克斯电气)
14,275V,R1,RES-TH_L9.0-W4.6-P5.00-D0.9-S3.4,1,B72207S0271K111,TDK
15,47,R2,R0207,1,MMF50SFRF47R,YAGEO(国巨)
16,220,R7,R0805,1,,
17,TEST-POINTTP_15TH_THRU,"TP1,TP2",TP30H,2,,
18,XIAO-ESP32-C6,U1,LCC-14P_L17.7-W20.8-XIAO-ESP32-C6,1,XIAO-ESP32-C6,null
19,IRM-01-5,U2,PWRM-TH_L33.7-W22.2_IRM-01-12,1,IRM-01-5,MW(明纬)
20,AQH3213A,U3,SMD-8_7P-L9.8-W6.4-P2.54-BL-PE7,1,AQH3213A,PANASONIC(松下)
21,DS18B20,U4,TO-92-3_L4.9-W3.7-P1.27-L,1,DS18B20-15(MY),Mysentech(敏源传感)
22,4K7,"R4,R5,R6",R0805,3,,
23,LED,J6,HDR-M-2.54_1X2,1,,
